latitude,longitude
41.209037, -116.848281
41.205300, -116.853757
41.203703, -116.856155
41.197178, -116.865783
41.195256, -116.868881
41.194660, -116.869749
41.189075, -116.878077
41.187749, -116.880107
41.187680, -116.880380
41.181987, -116.888684
41.181359, -116.890309
41.180913, -116.891774
41.177581, -116.900842
41.177370, -116.901436
41.175156, -116.913134
41.173919, -116.919667
41.172501, -116.925814
41.171831, -116.930047
41.171792, -116.930387
41.171564, -116.933961
41.171126, -116.936630
41.168666, -116.944144
41.166925, -116.948219
41.164212, -116.954566
41.161540, -116.960815
41.160945, -116.962510
41.159204, -116.968655
41.158291, -116.971705
41.157034, -116.976526
41.153596, -116.991305
41.151737, -116.999421
41.151388, -117.000943
41.149664, -117.007810
41.147397, -117.017903
41.144992, -117.025882
41.144566, -117.026624
41.141448, -117.033541
41.140808, -117.034510
41.137318, -117.042511
41.136668, -117.043531
41.135776, -117.046133
41.131625, -117.064465
41.129439, -117.077728
41.127566, -117.090210
41.124870, -117.107933
41.124325, -117.110709
41.121487, -117.120023
41.115903, -117.136379
41.115705, -117.137227
41.113572, -117.144005
41.112407, -117.146910
41.111187, -117.151246
41.109684, -117.155982
41.108864, -117.158590
41.108589, -117.159195
41.107355, -117.163400
41.106092, -117.167885
41.103039, -117.179192
41.101857, -117.184339
41.098169, -117.197431
41.094162, -117.210486
41.092280, -117.216734
41.091061, -117.220989
41.089916, -117.225011
41.085584, -117.240504
41.084726, -117.243573
41.079866, -117.261653
41.078038, -117.268064
41.075730, -117.275625
41.075638, -117.275806
41.074953, -117.278529
41.073718, -117.283034
41.071364, -117.291470
41.065851, -117.302899
41.063609, -117.311032
41.063220, -117.312906
41.063083, -117.313571
41.063311, -117.315808
41.063723, -117.322338
41.064476, -117.338814
41.075811, -117.367619
41.075012, -117.382780
41.078712, -117.396590
41.083053, -117.419951
41.086121, -117.458896
41.087127, -117.462132
41.087126, -117.463765
41.086520, -117.506514
41.086453, -117.509448
41.086276, -117.522905
41.086299, -117.523752
41.085477, -117.529649
41.081775, -117.557531
41.079783, -117.581933
41.042876, -117.584460
41.046350, -117.600418
41.047423, -117.607310
41.048749, -117.639530
41.046028, -117.640042
41.041877, -117.640324
41.029248, -117.671307
41.027686, -117.677735
41.027105, -117.677795
41.026387, -117.677869
41.021646, -117.678340
